('Total Revenue', '293,812,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         954187 function calls (928762 primitive calls) in 4.723 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  155/154    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:523(_check_name_wrapper)
      154    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1031(get_filename)
      153    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      153    0.012    0.000    0.012    0.000 {built-in method marshal.loads}
      153    0.008    0.000    0.008    0.000 {built-in method io.open_code}
      153    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
      153    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      153    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:560(_classify_pyc)
      153    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:593(_validate_timestamp_pyc)
      153    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:645(_compile_bytecode)
      153    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:841(create_module)
    153/3    0.000    0.000    0.206    0.069 <frozen importlib._bootstrap_external>:844(exec_module)
      153    0.001    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:916(get_code)
      153    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1006(__init__)
      153    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1036(get_data)
      153    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1077(path_stats)
      151    0.000    0.000    0.000    0.000 typing.py:463(<genexpr>)
      144    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1472(<genexpr>)
      142    0.000    0.000    0.000    0.000 css_parser.py:369(__init__)
  142/137    0.000    0.000    0.001    0.000 css_parser.py:385(_freeze_relations)
  142/137    0.000    0.000    0.002    0.000 css_parser.py:395(freeze)
      142    0.000    0.000    0.001    0.000 css_types.py:203(__init__)
      140    0.000    0.000    0.000    0.000 parse.py:103(_noop)
      140    0.000    0.000    0.000    0.000 parse.py:114(_coerce_args)
      134    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
      134    0.000    0.000    0.000    0.000 six.py:92(__init__)
      133    0.001    0.000    0.003    0.000 sre_compile.py:492(_get_charset_prefix)
      120    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
