('Total Revenue', '293,812,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         868114 function calls (847119 primitive calls) in 8.743 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      102    0.000    0.000    0.000    0.000 typing_extensions.py:3143(_has_generic_or_protocol_as_origin)
      611    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
        2    0.000    0.000    0.000    0.000 feedparser.py:471(_parse_headers)
      139    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
     88/1    0.000    0.000    8.743    8.743 {built-in method builtins.exec}
      142    0.000    0.000    0.001    0.000 css_types.py:203(__init__)
        1    0.000    0.000    0.002    0.002 typing_extensions.py:1(<module>)
       11    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
     1676    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
        8    0.000    0.000    0.305    0.038 __init__.py:1(<module>)
      261    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
      760    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      260    0.000    0.000    0.000    0.000 {built-in method builtins.any}
       87    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:645(_compile_bytecode)
      201    0.000    0.000    0.000    0.000 typing_extensions.py:1581(get_origin)
       86    0.000    0.000    0.000    0.000 css_parser.py:812(parse_combinator)
        4    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
        1    0.000    0.000    8.581    8.581 financial_enhanced.py:9(get_financial_data)
      199    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
        2    0.000    0.000    0.002    0.001 parser.py:59(parsestr)
        1    0.000    0.000    0.051    0.051 dammit.py:2(<module>)
       87    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:560(_classify_pyc)
       43    0.000    0.000    0.001    0.000 typing.py:822(__getitem__)
      280    0.000    0.000    0.081    0.000 re.py:250(compile)
      121    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:185(cb)
      322    0.000    0.000    0.000    0.000 css_parser.py:248(css_unescape)
       68    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
      285    0.000    0.000    0.000    0.000 css_parser.py:344(match)
      557    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
      121    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
      200    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:385(cached)
      113    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:491(_get_cached)
      343    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1337(_path_importer_cache)
      283    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
      584    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        2    0.000    0.000    0.000    0.000 socket.py:302(makefile)
       44    0.000    0.000    0.002    0.000 typing.py:431(Union)
      326    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
      163    0.000    0.000    0.000    0.000 sre_parse.py:921(fix_flags)
       75    0.000    0.000    0.000    0.000 css_parser.py:542(parse_tag_pattern)
       88    0.000    0.000    0.000    0.000 enum.py:971(__or__)
      113    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1500(_get_spec)
      206    0.000    0.000    0.000    0.000 types.py:171(__get__)
       35    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      192    0.000    0.000    0.001    0.000 element.py:530(get_text)
      122    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:156(__enter__)
        1    0.000    0.000    0.225    0.225 __init__.py:211(__init__)
      281    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:64(_relax_case)
      355    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:878(__exit__)
      111    0.000    0.000    0.001    0.000 typing.py:667(__init__)
        2    0.000    0.000    0.467    0.234 ssl.py:983(_create)
       57    0.000    0.000    0.001    0.000 parser.py:122(set_cdata_mode)
      157    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
        8    0.000    0.000    0.001    0.000 feedparser.py:218(_parsegen)
        8    0.000    0.000    0.000    0.000 {method 'read' of '_io.StringIO' objects}
        2    0.000    0.000    0.000    0.000 ssl.py:1193(sendall)
      954    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      283    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
       45    0.000    0.000    0.000    0.000 _policybase.py:293(header_source_parse)
      348    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
        2    0.000    0.000    1.274    0.637 client.py:276(_read_status)
      117    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1406(find_spec)
      355    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:874(__enter__)
        2    0.000    0.000    0.099    0.050 client.py:204(_read_headers)
    163/4    0.000    0.000    0.162    0.040 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
       87    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:593(_validate_timestamp_pyc)
