('Total Revenue', '293,812,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         961945 function calls (936534 primitive calls) in 7.931 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      533    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
      153    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
        1    0.000    0.000    0.002    0.002 resources.py:1(<module>)
      420    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      961    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      247    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
        3    0.000    0.000    0.000    0.000 socket.py:220(__init__)
      283    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
        3    0.000    0.000    0.009    0.003 request.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ssl.py:1298(_real_close)
        2    0.000    0.000    0.007    0.003 utils.py:1(<module>)
      479    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        2    0.000    0.000    1.244    0.622 client.py:276(_read_status)
      336    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      954    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
       46    0.000    0.000    0.000    0.000 six.py:108(__init__)
       58    0.000    0.000    0.001    0.000 parser.py:122(set_cdata_mode)
        8    0.000    0.000    0.000    0.000 {method 'read' of '_io.StringIO' objects}
      477    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
      351    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
        2    0.000    0.000    1.720    0.860 adapters.py:590(send)
       10    0.000    0.000    0.000    0.000 __future__.py:83(__init__)
      234    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
        1    0.000    0.000    0.001    0.001 models.py:351(prepare)
        6    0.000    0.000    0.000    0.000 cookiejar.py:225(http2time)
      185    0.000    0.000    0.006    0.000 sre_parse.py:96(closegroup)
      273    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
       29    0.000    0.000    0.000    0.000 ipaddress.py:1608(_ip_int_from_string)
        3    0.000    0.000    0.266    0.089 utils.py:755(should_bypass_proxies)
      202    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:811(find_spec)
       12    0.000    0.000    0.001    0.000 structures.py:40(__init__)
       44    0.000    0.000    0.000    0.000 enum.py:582(_find_data_type)
       64    0.000    0.000    0.000    0.000 _policybase.py:281(_sanitize_header)
    44/32    0.000    0.000    0.008    0.000 css_parser.py:579(parse_pseudo_class)
        1    0.000    0.000    0.001    0.001 sessions.py:390(__init__)
        9    0.000    0.000    0.000    0.000 cookiejar.py:1483(_cookie_from_cookie_tuple)
        4    0.000    0.000    0.000    0.000 cookies.py:521(cookiejar_from_dict)
       48    0.000    0.000    0.000    0.000 typing.py:230(_remove_dups_flatten)
        6    0.000    0.000    0.002    0.000 cookiejar.py:1677(extract_cookies)
        2    0.000    0.000    0.000    0.000 response.py:201(__init__)
        1    0.000    0.000    2.464    2.464 sessions.py:500(request)
        1    0.000    0.000    0.046    0.046 css_parser.py:1(<module>)
        2    0.000    0.000    0.001    0.000 client.py:1259(_send_request)
        1    0.000    0.000    0.001    0.001 ssl_.py:259(create_urllib3_context)
       78    0.000    0.000    0.000    0.000 structures.py:46(__setitem__)
       12    0.000    0.000    0.000    0.000 queue.py:122(put)
       12    0.000    0.000    0.000    0.000 datetime.py:492(__new__)
      165    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
        1    0.000    0.000    7.727    7.727 financial.py:57(main)
       18    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1556(_fill_cache)
       53    0.000    0.000    0.000    0.000 feedparser.py:78(readline)
       49    0.000    0.000    0.000    0.000 _collections.py:156(__getitem__)
        6    0.000    0.000    0.001    0.000 feedparser.py:101(push)
       10    0.000    0.000    0.002    0.000 enum.py:475(_create_)
      195    0.000    0.000    0.000    0.000 typing_extensions.py:3165(_is_unpacked_typevartuple)
    27/24    0.000    0.000    0.021    0.001 <frozen importlib._bootstrap_external>:1171(create_module)
       45    0.000    0.000    0.471    0.010 models.py:816(generate)
        2    0.000    0.000    0.000    0.000 models.py:658(__init__)
        1    0.000    0.000    0.240    0.240 ssl.py:983(_create)
       24    0.000    0.000    0.000    0.000 util.py:16(lower)
        1    0.000    0.000    0.001    0.001 financial.py:39(<listcomp>)
      222    0.000    0.000    0.000    0.000 typing.py:128(_type_convert)
        1    0.000    0.000    0.093    0.093 element.py:1(<module>)
      104    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
